gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MLH3	1.72987661138331	5.35774502645149	26.7200319455009	1.70450281431692e-14	1.77796688561398e-10	22.8532080884358
TMEM176A	3.36084827953356	6.18351578502549	24.9654296652407	4.82901299324046e-14	3.35809563549942e-10	21.9765343266633
SCGB3A1	4.29031781941708	4.57878118855351	24.1440918747615	8.05551391025785e-14	4.20135327989498e-10	21.5371883477045
TMEM176B	2.1809798360546	4.46305131712832	22.516540880626	2.33625176097848e-13	7.23642820713076e-10	20.6061470387753
HSPC102	-3.36920573291645	7.14352714443883	-22.4595927732462	2.42809881362838e-13	7.23642820713076e-10	20.5720214524285
CHP1	1.38078209764565	6.76269034566665	21.1975625916339	5.84832499532151e-13	1.35564173391553e-09	19.7867805405978
NATD1	2.84316047390786	6.23828394323858	18.1582421786	6.04407842211921e-12	7.88072275264069e-09	17.6389785514033
APOM	1.14107141661653	3.63964799175333	17.1365046438505	1.43764401908652e-11	1.3632786148265e-08	16.8222170490471
LOC101928343	1.80143072603869	4.77942333393108	16.7216324789632	2.07152369709072e-11	1.80067197369611e-08	16.47506571135
PRR11	-1.26964092956378	9.76824803691894	-16.6601700705581	2.18822987780627e-11	1.82603406843178e-08	16.4228382320664
CUTALP	-1.44416248882642	4.56443038113058	-16.5853415626517	2.33980257852135e-11	1.87742159204278e-08	16.3589702080371
HLA-DQA1	4.10247596544188	5.48629240110694	16.327775486531	2.95260657138836e-11	2.12404407904497e-08	16.1367276090688
ACSM2A	-1.97264374193533	2.97375956788003	-16.0327328252009	3.86990321642464e-11	2.52249221947427e-08	15.8774783030121
SMAGP	2.05671764456843	5.15884667544087	15.9776288795755	4.07246895208155e-11	2.52249221947427e-08	15.8284958568344
HLA-DQB1	2.34989983134383	7.40777868648768	15.6390581427539	5.59128052509828e-11	3.1905437666621e-08	15.5235566430741
PSME3	1.57957941359605	5.96275144790195	15.4786966000279	6.51081179484504e-11	3.48278347856557e-08	15.3766915263887
CDK5	1.45535858766792	5.51034601298254	15.3265681414614	7.53228303538748e-11	3.92846221710634e-08	15.2358898806978
EEF1AKMT3	1.95769578501031	2.80459279736945	15.0287649335027	1.00564507180505e-10	4.87186067486548e-08	14.9560126205276
CD99P1	1.63417240730552	4.18525521031144	15.0067936098762	1.02752310274222e-10	4.87186067486548e-08	14.9351376163362
HNRNPH3	-1.20971355422965	8.18698168281549	-14.8893938811717	1.15329184300491e-10	5.33290107893538e-08	14.8230612915773
INSIG1-DT	1.71760041357699	4.23213661967713	14.8697466412551	1.17588653835216e-10	5.33290107893538e-08	14.804216499005
MICU1	1.30712546998945	7.55211053902595	14.5424251584145	1.63003187369006e-10	7.02600961516079e-08	14.4864744009629
SIGLEC9	2.54222795335499	5.16762239738829	14.5301958665995	1.65024672199635e-10	7.02600961516079e-08	14.4744627685705
SLC24A3	2.01191269824646	3.43351332392999	14.3291639376486	2.02351688758992e-10	8.24485838490339e-08	14.2755340823577
SERPINB9P1	1.81407210379035	4.03559069130646	14.2096045775889	2.28710941117968e-10	8.52029938143402e-08	14.1558919833475
CCEPR	-1.66924991491041	2.94450593526624	-14.1748713427712	2.37033030076116e-10	8.67540890078586e-08	14.1209459735837
LOC100996756	2.26946560148642	5.87104900073397	14.113815928055	2.5244903780056e-10	9.0803307355091e-08	14.0593090329871
SLC22A3	-1.46460113533989	5.90879941257041	-14.0762925448347	2.6244742434711e-10	9.10304097844345e-08	14.0212964110498
LINC02802	-2.26660117167014	4.57708553183608	-14.0744361612256	2.62952834380604e-10	9.10304097844345e-08	14.0194132087695
SIRT6	1.03657885080864	4.41526095999463	14.0627044510106	2.66170788843376e-10	9.10304097844345e-08	14.0075063019865
ORM1	2.00704496879831	4.6804491652125	14.0012264393191	2.83729737115714e-10	9.39897735876613e-08	13.9449485203319
